utmx utmy Watershednum elevation aspect slope
279065 4866125 9 715 343.3008 14.62828
279075 4866125 9 715 348.6901 14.30291
279085 4866125 9 716 354.2894 14.10346
277685 4866135 7 729 45 8.049467
277695 4866135 7 728 37.87498 8.111279
277705 4866135 7 727 24.44395 8.588925
277715 4866135 7 727 24.44395 8.588925
277725 4866135 7 726 37.87498 8.111279
277735 4866135 7 725 45 8.049467
277745 4866135 7 724 45 8.049467
277755 4866135 7 723 45 8.049467
277765 4866135 7 722 26.56505 6.37937
277775 4866135 7 722 26.56505 6.37937
277785 4866135 7 721 45 8.049467
277795 4866135 7 720 45 7.054132
277805 4866135 7 719 33.69007 5.150652
277815 4866135 7 719 35.53768 6.13738
277825 4866135 7 718 45 7.054132
277835 4866135 7 717 33.69007 5.150652
277845 4866135 7 717 33.69007 5.150652
277855 4866135 7 716 33.69007 5.150652
277865 4866135 7 716 35.53768 6.13738
277875 4866135 7 715 45 8.049467
277885 4866135 7 714 26.56505 6.37937
277895 4866135 7 714 26.56505 6.37937
277905 4866135 7 713 29.0546 7.333393
277915 4866135 7 713 21.80141 7.667577
277925 4866135 7 712 18.43495 6.762861
277935 4866135 7 712 26.56505 6.37937
277945 4866135 7 711 26.56505 6.37937
277955 4866135 7 711 0 5.710593
277965 4866135 7 711 0 5.710593
277975 4866135 7 711 26.56505 6.37937
277985 4866135 7 710 26.56505 6.37937
277995 4866135 7 710 0 5.710593
278005 4866135 7 710 0 5.710593
278015 4866135 7 710 0 5.710593
278025 4866135 7 710 0 5.710593
278035 4866135 7 710 0 5.710593
278045 4866135 7 710 0 5.710593
278055 4866135 7 710 333.4349 6.37937
278065 4866135 7 711 333.4349 6.37937
278075 4866135 7 711 0 5.710593
278085 4866135 7 711 353.6598 6.457954
278095 4866135 7 711 338.1986 7.667577
278105 4866135 7 712 341.5651 6.762861
278115 4866135 7 712 333.4349 6.37937
278125 4866135 7 713 333.4349 6.37937
278135 4866135 7 713 341.5651 6.762861
278145 4866135 7 714 338.1986 7.667577
278155 4866135 7 714 338.1986 7.667577
278165 4866135 7 715 335.556 8.588925
278175 4866135 7 715 335.556 8.588925
278185 4866135 7 716 329.0363 8.293805
278195 4866135 7 717 341.5651 8.984877
278205 4866135 7 717 344.0546 10.31508
278215 4866135 7 718 344.0546 10.31508
278225 4866135 7 718 356.1859 10.64269
278235 4866135 7 718 356.1859 10.64269
278245 4866135 7 718 347.0054 9.468127
278255 4866135 7 719 347.0054 9.468127
278265 4866135 7 719 356.1859 10.64269
278275 4866135 7 719 356.1859 10.64269
278285 4866135 7 719 355.6013 9.256682
278295 4866135 7 719 0 8.530766
278305 4866135 7 719 0 8.530766
278315 4866135 7 719 0 8.530766
278325 4866135 7 719 0 8.530766
278335 4866135 7 719 355.6013 9.256682
278775 4866135 9 705 12.52881 12.97935
278785 4866135 9 705 16.38954 12.4894
278795 4866135 9 704 14.03624 11.64863
278805 4866135 9 704 0 11.30993
278815 4866135 9 704 356.1859 10.64269
278825 4866135 9 704 344.0546 10.31508
278835 4866135 9 705 334.9831 11.69021
278845 4866135 9 706 333.4349 12.60438
278855 4866135 9 707 333.4349 12.60438
278865 4866135 9 708 339.444 12.05719
278875 4866135 9 709 345.9637 11.64863
278885 4866135 9 709 352.875 11.39565
278895 4866135 9 709 349.992 12.17678
278905 4866135 9 710 347.4712 12.97935
278915 4866135 9 710 353.6598 12.75587
278925 4866135 9 710 351.0274 13.51969
278935 4866135 9 711 351.0274 13.51969
278945 4866135 9 711 356.6335 12.01703
278955 4866135 9 711 356.6335 12.01703
